;alpha_2018;Alpha_2019;Dch_2018;Dch_2019;Hst_2018;Hst_2019;Stl_2018;Stl_2019;SHL_2018;SHL_2019;SHT_2018;SHT_2019;Fs_2018;Fs_2019
FEI CHENG BAI LI;;;;;;;;;1.08;1.05;1.06;1.07;83.1;78.1
FUOCO DI ROMAGNA;118.6;;3.61;;6.1;;1.08;;0.97;0.97;1.03;1.07;71.9;77.7
GLADIS;;;;;;;;;1.15;1.15;1.05;1.04;70.3;74.6
GLOHAVEN;95.19;;7.09;;9.28;;1.05;;1.08;1.09;1;1;70.9;72.9
GRENAT;95.38;;4.57;;10.08;;1.03;;1.1;1.12;1.06;1.11;74.9;75.3
H1-3ZAB;;;;;;;;;1.01;1;0.99;1;69.1;72.7
ELIOS;95.7;;2.69;;7.54;;1.21;;1.02;1.06;0.99;1.07;56.5;56.3
HONEY GLO;95.38;;3.39;;9.34;;1.12;;1.09;1.08;1.05;1.04;69.9;68
HONEY KIST;80.7;80.61;3.97;4.17;12.86;11.47;1.13;1.03;1.01;1.04;1;1;68.9;73.5
HONEY ROYAL;;;;;;;;;1;0.96;1;1.01;72.5;74.8
IFF 1443;100.53;93.22;8.74;5.71;9.63;10.3;1.09;1.25;1.05;0.99;0.97;1.01;70.9;73.9
IFF 1445;104.31;;2.17;;8.96;;1.17;;1.06;1.05;1.01;1.04;79.3;76.1
IFF 1450;89.57;;6.53;;11.28;;1.15;;1.11;1.13;1.03;1.14;70.2;77.1
IFF 1434;102.85;;2.42;;7.85;;1.16;;1.03;1.05;1;1.04;68.2;71.9
IFF 691;;;;;;;;;1.17;1.15;1.01;1.1;74.6;69.5
IRIDE;114.15;108.5;3.8;6.09;8.22;7.54;1.09;1.11;1.09;1.15;1.04;1.15;67.7;69.8
KAWEAH;;;;;;;;;1.06;1.09;0.97;1.02;71.7;71.4
KEWINA;;;;;;;;;1.1;1.17;0.99;1.04;73.4;67.7
KV930386;127.18;;4.12;;5.72;;1.12;;0.99;1.12;0.97;1.02;68.3;69.6
LUCREZIA;108.74;100.84;5;2.84;6.75;5.74;1.13;1.17;1.02;1.03;0.99;1.01;54.9;53.6
LUISA BERSELLI;99.67;106.09;6.31;4.79;8.32;8.05;1.27;1.12;1;0.97;1.01;1.05;68.2;72.6
MARIA BIANCA;105.74;105.91;5.64;5.38;9.81;8.84;1.14;1.1;1.11;1.13;1.02;1.06;76.6;77.2
MARIA DELIZIA;101.74;103.24;4.74;4.03;7.11;7.26;1.06;1.05;0.9;0.97;1;1.03;67.1;70.4
MAURA;95.96;;1.68;;11.94;;1.11;;1.07;1.13;1.01;1.03;70.6;73.7
MAYCREST;;82.6;;2.4;;11.51;;1.29;1.13;1.19;1.06;1.12;69.1;68.9
MERRIL GEM FREE;110.15;103.11;4.41;3.58;7.5;7.41;1.13;1.19;1.07;1.1;1.03;1.15;70.3;69.1
MICHELINI;97.31;;6.07;;9.12;;1;;1.09;1.12;0.99;1.04;75.3;74.4
NADIA;;;;;;;;;1.08;1.06;1.02;1.05;82.6;74.5
NJ 82;;;;;;;;;0.99;1.03;0.99;1.02;63.6;67.2
NJC 113;98.27;112.74;2.65;2.8;8.96;6.67;1.13;1.23;1.04;1.11;0.95;1.02;66.7;64.7
ORO A;104.4;102.28;0.93;1.22;6.62;6.29;1.13;1.11;1.16;1.22;1.04;1.03;52.6;62
PACIFIC STAR;111.52;103.89;1.06;1.28;5.28;6.73;1.29;1.38;;0.98;;1.03;;68.2
PERCOCA RDL;;;;;;;;;1.03;1.06;0.99;1.03;68.4;72.8
PESCA A CUORE CAPOZZI;;;;;;;;;;0.88;;0.97;;67.1
PIERI 81;101.43;;4.11;;8.85;;1.08;;1.06;1.05;1.02;1.02;74.8;79.3
PIT STOP;92.06;;4.7;;9.32;;1.02;;1.04;1.01;1.05;0.99;68.7;71.5
PULCHRA;105.23;88.32;1.79;2.04;8.05;8.66;1.23;1.14;1.16;1.15;1.01;1.08;63.7;64.7
QUETTA;107.18;;3.46;;6.28;;1.05;;0.99;0.95;1.04;1.02;56.7;61.1
REBUS 28;98.45;;2.98;;8.45;;1.16;;1;0.95;1.01;1.03;58.4;59.6
REDHAVEN;94.6;;5.58;;11.17;;1.09;;1.03;0.99;0.98;0.95;70.5;66.5
RICH LADY;103.85;87.74;5.07;3.06;11.79;11.51;1.13;1.15;1.1;1.07;0.96;0.98;74.8;71
